title,Rebellion,Entry,transcript_filename,Publication Title,Publication location,Metadata Match Location,Date Published,date,VOLUME-ISSUE,NewsSources Named,Source,MCODE,Year,Month,Day,Folder,Filename,Article Link,Transcription Link,object_thumb,object_location,reference_url
"Morant Bay Rebellion 1","MORANT BAY REBELLION","1","1-MBR-Gale-Transcription.md","National Intelligencer","Washington, DC","Washington","November 10, 1865","1865-11-10","Volume: 65 , Issue: 16,608","","Gale","5DXC","1865","November","10","NCNP0100","/5DXC/NCNP0100/5DXC-1865-NOV10_Text.xml","https://drive.google.com/file/d/11vPjDwKGusQ2prcB_4W4PyhcrVEMrMLa/view?usp=sharing","https://docs.google.com/document/d/1JCtph2oSs6AXQYO3GdKYmZ5JwRWpTipiib8BJgR7CLI/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_1.html"
"Morant Bay Rebellion 2","MORANT BAY REBELLION","2","2-MBR-Gale-Transcription.md","Bangor Daily Whig and Courier","Bangor, ME","Bangor","November 11, 1865","1865-11-11","Volume: 32 , Issue: 114","","Gale","5DWR","1865","November","11","missing files","","https://drive.google.com/file/d/1kQ3ivVPR7iD2KKdGiSiBnD_GhtUzrnwg/view?usp=sharing","https://docs.google.com/document/d/1lLTnXvA7pB1REe4WH8RdLIGB49J7Uw75_AaoCME0vKo/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_2.html"
"Morant Bay Rebellion 3","MORANT BAY REBELLION","3","3-MBR-Gale-Transcription.md","Daily Evening Bulletin","San Francisco","San Francisco","November 13, 1865","1865-11-13","Volume: 21 , Issue: 31","","Gale","5AHR","1865","November","13","missing files","","https://drive.google.com/file/d/1iuj2SHaGNiFkkjfoUD7whtYYdlozzTF9/view?usp=sharing","https://docs.google.com/document/d/1bui4WCurKGnozdSUWOJY4Lvf4QHO7eI5lQYs2LaIavU/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_3.html"
"Morant Bay Rebellion 4","MORANT BAY REBELLION","4","4-MBR-Gale-Transcription.md","New Haven Palladium","New Haven, CT","New Haven","November 15, 1865","1865-11-15","Volume: 25 , Issue: 283","","Gale","5DXE","1865","November","15","NCNP0082","/5DXE/NCNP0082/5DXE-1865-NOV15_Text.xml","https://drive.google.com/file/d/1njZuWaDTIhgsWLpdpn0Y7Cng376jrKza/view?usp=sharing","https://docs.google.com/document/d/1xUx51e8vrIGAOcbFJOupe7rTYCZy-R_WELw4SGjha9c/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_4.html"
"Morant Bay Rebellion 5","MORANT BAY REBELLION","5","5-MBR-Gale-Transcription.md","Daily Evening Bulletin","San Francisco","San Francisco","November 17, 1865","1865-11-17","Volume: 21 , Issue: 35","","Gale","5AHR","1865","November","17","missing files","","https://drive.google.com/file/d/1ZKananJlwfbM9dmV8-hyhQcoWJ-FprqB/view?usp=sharing","https://docs.google.com/document/d/1n8NQ-tuKKrVy6lOXnqhduu4OJimUS6g2Dy2ZHVNaZSo/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_5.html"
"Morant Bay Rebellion 6","MORANT BAY REBELLION","6","6-MBR-Gale-Transcription.md","The North American","Philadelphia, PA","!ERROR IN PUB NAME","November 17, 1865","1865-11-17","Volume 98, Issue 26,654","","Gale","","1865","November","17","!ERROR! NO MATCH","","https://drive.google.com/file/d/1Py43w8b22khHn9YN5oAgkQ0EPchUEdmx/view?usp=sharing","https://docs.google.com/document/d/1mxMihIzWaszNxnbDIpAdjneXqekpoqn2NnQ3rljR-l0/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_6.html"
"Morant Bay Rebellion 7","MORANT BAY REBELLION","7","7-MBR-Gale-Transcription.md","Daily Evening Bulletin","San Francisco","San Francisco","November 17, 1865","1865-11-17","Volume: 21 , Issue: 35","","Gale","5AHR","1865","November","17","missing files","","https://drive.google.com/file/d/19TdSwen9HevVLV3H8U8FF5PcnAgpEbP1/view?usp=sharing","https://docs.google.com/document/d/1gj92Kvf75FdDxT6dOEBNr1lrn1_zzkGjsz4HVhYxtEA/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_7.html"
"Morant Bay Rebellion 8","MORANT BAY REBELLION","8","8-MBR-Gale-Transcription.md","Cleveland Daily Herald","Cleveland, OH","Cleveland","November 18, 1865","1865-11-18","Volume 31, Issue 276","","Gale","5DMF","1865","November","18","NCNP0004","/5DMF/NCNP0004/5DMF-1865-NOV18_Text.xml","https://drive.google.com/file/d/1VWiXt9dgfqXkv3SuaGh5C0abFpvt2PFG/view?usp=sharing","https://docs.google.com/document/d/1DyfrJWPLEOCF3n-8rTZVr_yRxNnMVkX-QwF35mOrVi4/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_8.html"
"Morant Bay Rebellion 9","MORANT BAY REBELLION","9","9-MBR-Gale-Transcription.md","Natchez Daily Courier","Natchez, MS","Natchez","November 21, 1865","1865-11-21","Volume 1, Issue 20","","Gale","5KUO","1865","November","21","NCNP0169","/5KUO/NCNP0169/5KUO-1865-NOV21_Text.xml","https://drive.google.com/file/d/1IDYV4x96knpw75h8xdZAm4OxlS8N-kb0/view?usp=sharing","https://docs.google.com/document/d/1YTigjUiEg9UYvCXfyBy5b86nYcqFzfoOJfoRBdxpZN4/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_9.html"
"Morant Bay Rebellion 10","MORANT BAY REBELLION","10","10-MBR-Gale-Transcription.md","N. Y. Tribune","Boston, MA","!ERROR IN PUB NAME","November 24, 1865","1865-11-24","Volume 35, Issue 47","","Gale","","1865","November","24","!ERROR! NO MATCH","","https://drive.google.com/file/d/1lFISSyEdvXWXDfNdyIDPMHuZ5vZQ-6nv/view?usp=sharing","https://docs.google.com/document/d/1tiRLaIwwVzYs5wqRZ1RZMipNLCSt-1h18ra0oFFl8o0/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_10.html"
"Morant Bay Rebellion 11","MORANT BAY REBELLION","11","11-MBR-Gale-Transcription.md","Boston Daily Advertiser","Boston, MA","Boston","December 19, 1865","1865-12-19","Volume 106, Issue 145","","Gale","5DUU","1865","December","19","missing files","","https://drive.google.com/file/d/1k7QsIzhJq2M65IzUHwDHqECyxnZYKvJb/view?usp=sharing","https://docs.google.com/document/d/1_jNKp2RpBAeJ9FfTYl5OL4Maa3tvt0dGeDkX-LKljrM/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_11.html"
"Morant Bay Rebellion 12","MORANT BAY REBELLION","12","12-MBR-Gale-Transcription.md","Cleveland Daily Herald","Cleveland, OH","Cleveland","January 4, 1866","1866-01-04","Volume 32, Issue 4","","Gale","5DMF","1866","January","04","NCNP0004","/5DMF/NCNP0004/5DMF-1866-JAN04_Text.xml","https://drive.google.com/file/d/10UCeIoUVtAmQabxehT0oN3YbwklITcrD/view?usp=sharing","https://docs.google.com/document/d/1r5c95VNT094zvwsaD4A4qMRBYubZ55GLa5Oxwc0rOrI/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_12.html"
"Morant Bay Rebellion 13","MORANT BAY REBELLION","13","13-MBR-Gale-Transcription.md","Daily Evening Bulletin","San Francisco, CA,","San Francisco","January 19, 1866","1866-01-19","Volume 21, Issue 87","","GALE","5AHR","1866","January","19","missing files","","https://drive.google.com/file/d/1YVRupXp2Nct8ZZ5fHEhG8iojDNNdLfwO/view?usp=sharing","https://docs.google.com/document/d/1Rte0vj_Aij92x7FrxtdV2eXnP55tKGYYbEjlLhbtMvE/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_13.html"
"Morant Bay Rebellion 14","MORANT BAY REBELLION","14","14-MBR-Gale-Transcription.md","New Hampshire Statesman","Concord, NH,","Concord","April 27, 1866","1866-04-27","Volume: 44 , Issue: 2343","","GALE","5FGY","1866","April","27","NCNP0144","/5FGY/NCNP0144/5FGY-1866-APR27_Text.xml","https://drive.google.com/file/d/1qQHWNT8SBvzo3OyVYs8W8aOYepZuyTBS/view?usp=sharing","https://docs.google.com/document/d/1kONJRszKxGCuJ3rsKFIrDrA7tI2wLvHsXTJCWkh4zeM/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_14.html"
"Morant Bay Rebellion 15","MORANT BAY REBELLION","15","15-MBR-Gale-Transcription.md","Daily Evening Bulletin","San Francisco, CA","San Francisco","May 21, 1866","1866-05-21","Volume: 22 , Issue: 37","","GALE","5AHR","1866","May","21","missing files","","https://drive.google.com/file/d/1XU55yYQcrR3L-272__SHTDZm1FC7RFjt/view?usp=sharing","https://docs.google.com/document/d/1l9aDwbpqs7r76ypxwasjDPZ2Iv81g6qdeRK-OvnabXU/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_15.html"
"Morant Bay Rebellion 16","MORANT BAY REBELLION","16","16-MBR-Gale-Transcription.md","National Intelligencer","Washington, DC","Washington","May 23, 1868","1868-05-23","Volume: 68 , Issue: 17,393","","GALE","5DXC","1868","May","23","NCNP0100","/5DXC/NCNP0100/5DXC-1868-MAY23_Text.xml","https://drive.google.com/file/d/1i7wqgBgSKQkAYtkfHUeCPBFOO4s37tSH/view?usp=sharing","https://docs.google.com/document/d/1E1LNWQWHH5lQnGWjJ97ljb4UC4NOvK3uq3xEb1uwMPQ/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_16.html"
"Morant Bay Rebellion 17","MORANT BAY REBELLION","17","17-MBR-Gale-Transcription.md","National Intelligencer","Washington, DC","Washington","November 11, 1865","1865-11-11","Volume: 65 , Issue: 16,609","","GALE","5DXC","1865","November","11","NCNP0100","/5DXC/NCNP0100/5DXC-1865-NOV11_Text.xml","https://drive.google.com/file/d/1JSskXStdsm0t8M7AmpKFF7OC0nguOeqz/view?usp=sharing","https://docs.google.com/document/d/1gIYtncBYzRhVggArylSZQUIWe7wKFObGw24BhpWl450/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_17.html"
"Morant Bay Rebellion 18","MORANT BAY REBELLION","18","18-MBR-Gale-Transcription.md","Milwaukee Daily Sentinel","Milwaukee, WI","Milwaukee","November 22, 1865","1865-11-22","Volume: 22 , Issue: 275","","GALE","5KUM","1865","November","22","NCNP0025","/5KUM/NCNP0025/5KUM-1865-NOV22_Text.xml","https://drive.google.com/file/d/1eCOAAMCg0MN7JSKhD117kFmPwCVYB2BN/view?usp=sharing","https://docs.google.com/document/d/13wE_qWIqvj7du4g9jlo9_2_ajfOuI9nyECOybi4sivg/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_18.html"
"Morant Bay Rebellion 19","MORANT BAY REBELLION","19","19-MBR-Gale-Transcription.md","Daily Central City Register","Central City, CO,","Central City","November 24, 1865","1865-11-24","Volume: 4 , Issue: [107]","","GALE","5FEV","1865","November","24","NCNP0159","/5FEV/NCNP0159/5FEV-1865-NOV24_Text.xml","https://drive.google.com/file/d/19IU7c17-_uhPZKBXHfhkFwQ5Cyxz3qm9/view?usp=sharing","https://docs.google.com/document/d/1IqrG0I-dtjy2uMldd91UNLl3iM13hllOj_a3Zqx7aT0/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_19.html"
"Morant Bay Rebellion 20","MORANT BAY REBELLION","20","20-MBR-Gale-Transcription.md","Daily Evening Bulletin","San Francisco, CA,","San Francisco","December 15, 1865","1865-12-15","Volume: 21 , Issue: 59","","GALE","5AHR","1865","December","15","missing files","","https://drive.google.com/file/d/1u9s1mrz7fSXjQ7j55pSQ4cFYaeG84zP_/view?usp=sharing","https://docs.google.com/document/d/1w_8Jo-2-MT7EDUCTV5iyDujrXe5H1i_rw__mQHwKNDo/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_20.html"
"Morant Bay Rebellion 21","MORANT BAY REBELLION","21","21-MBR-Gale-Transcription.md","Cleveland Daily Herald","Cleveland, OH,","Cleveland","December 16, 1865","1865-12-16","Volume: 31 , Issue: 300","","GALE","5DMF","1865","December","16","NCNP0004","/5DMF/NCNP0004/5DMF-1865-DEC16_Text.xml","https://drive.google.com/file/d/1sAazH8yS8EB3V-OI-43u3vlaQYqDGv8u/view?usp=sharing","https://docs.google.com/document/d/1tH0os4UTsyDVGEQGiRjoFze-7IwAKFu19y-RCKo4ZUY/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_21.html"
"Morant Bay Rebellion 22","MORANT BAY REBELLION","22","22-MBR-Gale-Transcription.md","Semi-Weekly Telegraph","Salt Lake City, UT,","Salt Lake City","December 21, 1865","1865-12-21","Volume: 2 , Issue: 22","","GALE","5LTK","1865","December","21","NCNP0070","/5LTK/NCNP0070/5LTK-1865-DEC21_Text.xml","https://drive.google.com/file/d/1j8PLhHAAPJkx0GRdGO5_hGBIc5vXjhUL/view?usp=sharing","https://docs.google.com/document/d/1EWNzhsLGRei528z7xcxg_grGhTiC9h2Y2lhEJ211bGQ/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_22.html"
"Morant Bay Rebellion 23","MORANT BAY REBELLION","23","23-MBR-Gale-Transcription.md","Liberator","Boston, MA,","Boston","December 29, 1865","1865-12-29","Volume: 35 , Issue: 52","","GALE","5DUR","1865","December","29","NCNP0044","/5DUR/NCNP0044/5DUR-1865-DEC29_Text.xml","https://drive.google.com/file/d/1SVu1wuc62uCdCCFqOgbvVRyyFiJAx7fD/view?usp=sharing","https://docs.google.com/document/d/1inL7Gnk9_8SyyyOt5kXRx81prcoUk4uXojRQXNCMQZM/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_23.html"
"Morant Bay Rebellion 24","MORANT BAY REBELLION","24","24-MBR-Gale-Transcription.md","Daily Evening Bulletin","San Francisco, CA","San Francisco","August 2, 1866","1866-08-02","Volume: 22 , Issue: 99","","GALE","5AHR","1866","August","02","missing files","","https://drive.google.com/file/d/1E4BEd0QJ9RHzVlysDoLlYg3eftElplGl/view?usp=sharing","https://docs.google.com/document/d/1ooV_JzrG5ef1TmJvBMTA7NRgOmPdO6OZSJYjYAAYFs8/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_24.html"

